node1
Files already downloaded and verified
Files already downloaded and verified
Epoch 275/300: SGD Test Error: 3.78%
Epoch 276/300: SGD Test Error: 3.84%
Epoch 277/300: SGD Test Error: 3.87%
Epoch 278/300: SGD Test Error: 3.88%
Epoch 279/300: SGD Test Error: 3.86%
Epoch 280/300: SGD Test Error: 3.81%
Models saved at epoch 280
Epoch 281/300: SGD Test Error: 3.92%
Epoch 282/300: SGD Test Error: 3.89%
Epoch 283/300: SGD Test Error: 3.85%
Epoch 284/300: SGD Test Error: 3.85%
Epoch 285/300: SGD Test Error: 3.84%
Epoch 286/300: SGD Test Error: 3.82%
Epoch 287/300: SGD Test Error: 3.84%
Epoch 288/300: SGD Test Error: 3.89%
Epoch 289/300: SGD Test Error: 3.80%
Epoch 290/300: SGD Test Error: 3.84%
Models saved at epoch 290
Epoch 291/300: SGD Test Error: 3.83%
Epoch 292/300: SGD Test Error: 3.77%
Epoch 293/300: SGD Test Error: 3.83%
Epoch 294/300: SGD Test Error: 3.78%
Epoch 295/300: SGD Test Error: 3.84%
Epoch 296/300: SGD Test Error: 3.86%
Epoch 297/300: SGD Test Error: 3.85%
Epoch 298/300: SGD Test Error: 3.78%
Epoch 299/300: SGD Test Error: 3.77%
Epoch 300/300: SGD Test Error: 3.93%
Models saved at epoch 300
